UEI,Start Date,End Date,Duration(Days),Main Cause,District
UEI-IMD-FL-1994-0046,1994-08-01,1994-08-01,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1994-0046,1994-08-01,1994-08-01,1.0,heavy rains,Thrissur
UEI-IMD-FL-1994-0047,1994-08-02,1994-08-02,1.0,heavy rains,Ernakulam
UEI-IMD-FL-1994-0047,1994-08-02,1994-08-02,1.0,heavy rains,Idukki
UEI-IMD-FL-1994-0047,1994-08-02,1994-08-02,1.0,heavy rains,Kollam
UEI-IMD-FL-1994-0047,1994-08-02,1994-08-02,1.0,heavy rains,Kottayam
UEI-IMD-FL-1994-0047,1994-08-02,1994-08-02,1.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Alappuzha
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Ernakulam
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Idukki
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Kannur
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Kasaragod
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Kollam
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Kottayam
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1994-0048,1994-08-03,1994-08-09,7.0,heavy rains,Thrissur
UEI-IMD-FL-1994-0049,1994-09-22,1994-09-22,1.0,heavy rains,Kannur
UEI-IMD-FL-1994-0050,1994-10-03,1994-10-06,4.0,heav rains,Kollam
UEI-IMD-FL-1994-0050,1994-10-03,1994-10-06,4.0,heav rains,Thiruvananthapuram
UEI-IMD-FL-1994-0051,1994-10-11,1994-10-11,1.0,heavy rains,Idukki
UEI-IMD-FL-1994-0052,1994-10-16,1994-10-16,1.0,heavy rains,Kozhikode
UEI-IMD-FL-1994-0053,1994-10-24,1994-10-24,1.0,heavy rains,Kollam
UEI-IMD-FL-1995-0040,1995-03-28,1995-03-28,1.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1995-0041,1995-05-07,1995-05-08,2.0,heavy rains,Kollam
UEI-IMD-FL-1995-0042,1995-05-07,1995-05-09,3.0,heavy rains,Ernakulam
UEI-IMD-FL-1995-0042,1995-05-07,1995-05-09,3.0,heavy rains,Idukki
UEI-IMD-FL-1995-0042,1995-05-07,1995-05-09,3.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1995-0043,1995-05-07,1995-05-10,4.0,heavy rains,Alappuzha
UEI-IMD-FL-1995-0043,1995-05-07,1995-05-10,4.0,heavy rains,Kottayam
UEI-IMD-FL-1995-0044,1995-05-07,1995-05-11,5.0,heavy rains,Kozhikode
UEI-IMD-FL-1995-0044,1995-05-07,1995-05-11,5.0,heavy rains,Pathanamthitta
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Ernakulam
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Idukki
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Kasaragod
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Kollam
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Kottayam
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Kozhikode
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Malappuram
UEI-IMD-FL-1995-0045,1995-06-13,1995-06-17,5.0,heavy rains,Thiruvananthapuram
UEI-IMD-FL-1995-0046,1995-06-29,1995-06-29,1.0,heavy rains,Kasaragod
UEI-IMD-FL-1995-0047,1995-07-05,1995-07-12,8.0,heavy rains,Idukki
UEI-IMD-FL-1995-0047,1995-07-05,1995-07-12,8.0,heavy rains,Kasaragod
UEI-IMD-FL-1995-0047,1995-07-05,1995-07-12,8.0,heavy rains,Kozhikode
UEI-IMD-FL-1995-0048,1995-07-14,1995-07-18,5.0,heavy rains,Idukki
UEI-IMD-FL-1995-0048,1995-07-14,1995-07-18,5.0,heavy rains,Kottayam
UEI-IMD-FL-1995-0048,1995-07-14,1995-07-18,5.0,heavy rains,Malappuram
UEI-IMD-FL-1995-0049,1995-07-21,1995-07-26,6.0,heavy rains,Kannur
UEI-IMD-FL-1995-0049,1995-07-21,1995-07-26,6.0,heavy rains,Kasaragod
UEI-IMD-FL-1995-0049,1995-07-21,1995-07-26,6.0,heavy rains,Kottayam
UEI-IMD-FL-1995-0050,1995-08-04,1995-08-04,1.0,heavy rains,Kannur
UEI-IMD-FL-1995-0051,1995-09-02,1995-09-03,2.0,heavy rains,Alappuzha
UEI-IMD-FL-1995-0051,1995-09-02,1995-09-03,2.0,heavy rains,Idukki
